,date,negative,positive
0,2020-03-01,85.0,255071.0
1,2020-03-02,243.0,36.0
2,2020-03-03,446.0,67.0
3,2020-03-04,1378.0,4890669.0
4,2020-03-05,1908.0,1222144.0
5,2020-03-06,2710.0,1515047.0
6,2020-03-07,3420.0,577960.0
7,2020-03-08,4305.0,608.0
8,2020-03-09,6121.0,797.0
9,2020-03-10,8736.0,1070.0
10,2020-03-11,12527.0,1511.0
11,2020-03-12,17831.0,2008.0
12,2020-03-13,24027.0,2731.0
13,2020-03-14,29193.0,3638.0
14,2020-03-15,35271.0,4606.0
15,2020-03-16,54750.0,5755.0
16,2020-03-17,70949.0,7635.0
17,2020-03-18,90005.0,10009.0
18,2020-03-19,113115.0,13370.0
19,2020-03-20,142806.0,18065.0
20,2020-03-21,182807.0,24166.0
21,2020-03-22,218447.0,30971.0
22,2020-03-23,264838.0,40111.0
23,2020-03-24,324281.0,51525.0
24,2020-03-25,395027.0,62263.0
25,2020-03-26,481453.0,75137.0
26,2020-03-27,558550.0,92850.0
27,2020-03-28,656041.0,112071.0
28,2020-03-29,721299.0,131647.0
29,2020-03-30,816822.0,151062.0
30,2020-03-31,904466.0,172476.0
31,2020-04-01,987665.0,197584.0
32,2020-04-02,1080514.0,223641.0
33,2020-04-03,1180599.0,251646.0
34,2020-04-04,1375398.0,283415.0
35,2020-04-05,1469491.0,316215.0
36,2020-04-06,1591014.0,341826.0
37,2020-04-07,1712822.0,370195.0
38,2020-04-08,1831590.0,400828.0
39,2020-04-09,1971110.0,431689.0
40,2020-04-10,2088813.0,466712.0
41,2020-04-11,2198454.0,500153.0
42,2020-04-12,2309350.0,531191.0
43,2020-04-13,2416583.0,559083.0
44,2020-04-14,2542396.0,583475.0
45,2020-04-15,2650329.0,609531.0
46,2020-04-16,2784580.0,639339.0
47,2020-04-17,2909382.0,670847.0
48,2020-04-18,3027255.0,702804.0
49,2020-04-19,3154009.0,730577.0
50,2020-04-20,3273189.0,757761.0
51,2020-04-21,3401617.0,783827.0
52,2020-04-22,3696147.0,809993.0
53,2020-04-23,3863070.0,839511.0
54,2020-04-24,4067228.0,871477.0
55,2020-04-25,4302600.0,905793.0
56,2020-04-26,4481667.0,941435.0
57,2020-04-27,4651500.0,968478.0
58,2020-04-28,4834812.0,991066.0
59,2020-04-29,5047533.0,1016433.0
60,2020-04-30,5250410.0,1042649.0
61,2020-05-01,5515426.0,1072564.0
62,2020-05-02,5732048.0,1105357.0
63,2020-05-03,5941066.0,1134380.0
64,2020-05-04,6150773.0,1159903.0
65,2020-05-05,6397882.0,1182392.0
66,2020-05-06,6632982.0,1204900.0
67,2020-05-07,6907154.0,1230039.0
68,2020-05-08,7178571.0,1257259.0
69,2020-05-09,7449196.0,1284400.0
70,2020-05-10,7693613.0,1309574.0
71,2020-05-11,8050034.0,1330457.0
72,2020-05-12,8338473.0,1348738.0
73,2020-05-13,8639737.0,1371287.0
74,2020-05-14,8977729.0,1392913.0
75,2020-05-15,9313005.0,1419616.0
76,2020-05-16,9649858.0,1445022.0
77,2020-05-17,10000603.0,1468580.0
78,2020-05-18,10334550.0,1488699.0
79,2020-05-19,10713956.0,1509495.0
80,2020-05-20,11106519.0,1530365.0
81,2020-05-21,11505476.0,1551614.0
82,2020-05-22,11888114.0,1578348.0
83,2020-05-23,12263524.0,1602513.0
84,2020-05-24,12613505.0,1624229.0
85,2020-05-25,13023178.0,1643728.0
86,2020-05-26,13310230.0,1662249.0
87,2020-05-27,13596604.0,1679223.0
88,2020-05-28,13997566.0,1698614.0
89,2020-05-29,14464628.0,1721251.0
90,2020-05-30,14867185.0,1744826.0
91,2020-05-31,15242433.0,1768255.0
92,2020-06-01,15631157.0,1789643.0
93,2020-06-02,16030241.0,1810002.0
94,2020-06-03,16481352.0,1830153.0
95,2020-06-04,16925489.0,1850299.0
96,2020-06-05,17409171.0,1870668.0
97,2020-06-06,17902240.0,1893726.0
98,2020-06-07,18307986.0,1916254.0
99,2020-06-08,18684809.0,1935067.0
100,2020-06-09,19086208.0,1952287.0
101,2020-06-10,19497522.0,1969422.0
102,2020-06-11,19936064.0,1990130.0
103,2020-06-12,20503551.0,2012199.0
104,2020-06-13,20985291.0,2035254.0
105,2020-06-14,21445770.0,2060481.0
106,2020-06-15,21858393.0,2081803.0
107,2020-06-16,22301004.0,2100450.0
108,2020-06-17,22767455.0,2123715.0
109,2020-06-18,23251176.0,2147612.0
110,2020-06-19,23810426.0,2174686.0
111,2020-06-20,24339790.0,2205634.0
112,2020-06-21,24832246.0,2237531.0
113,2020-06-22,25282139.0,2266375.0
114,2020-06-23,25749814.0,2293545.0
115,2020-06-24,26241311.0,2327419.0
116,2020-06-25,26843202.0,2366393.0
117,2020-06-26,27405724.0,2406056.0
118,2020-06-27,27959882.0,2450427.0
119,2020-06-28,28501223.0,2493301.0
120,2020-06-29,29034648.0,2534611.0
121,2020-06-30,29612361.0,2574355.0
122,2020-07-01,30205349.0,2621923.0
123,2020-07-02,30818609.0,2672874.0
124,2020-07-03,31466762.0,2726329.0
125,2020-07-04,32041405.0,2779980.0
126,2020-07-05,32667610.0,2834083.0
127,2020-07-06,33139974.0,2879221.0
128,2020-07-07,33721803.0,2920476.0
129,2020-07-08,34297743.0,2972136.0
130,2020-07-09,34886607.0,3034838.0
131,2020-07-10,35632134.0,3093709.0
132,2020-07-11,36264316.0,3160407.0
133,2020-07-12,36966268.0,3222631.0
134,2020-07-13,37598628.0,3283439.0
135,2020-07-14,38301998.0,3340789.0
136,2020-07-15,39005559.0,3403430.0
137,2020-07-16,39762993.0,3468868.0
138,2020-07-17,40520133.0,3539234.0
139,2020-07-18,41208163.0,3615284.0
140,2020-07-19,41923717.0,3679497.0
141,2020-07-20,42576973.0,3742868.0
142,2020-07-21,43256945.0,3799573.0
143,2020-07-22,43986607.0,3862941.0
144,2020-07-23,44706011.0,3932197.0
145,2020-07-24,45558831.0,4003160.0
146,2020-07-25,46274593.0,4077789.0
147,2020-07-26,47051258.0,4141900.0
148,2020-07-27,47752316.0,4201819.0
149,2020-07-28,48464106.0,4256641.0
150,2020-07-29,49227899.0,4315442.0
151,2020-07-30,49963018.0,4379256.0
152,2020-07-31,50619628.0,4447837.0
153,2020-08-01,51295650.0,4515267.0
154,2020-08-02,51939552.0,4574940.0
155,2020-08-03,52624578.0,4621155.0
156,2020-08-04,53290878.0,4670205.0
157,2020-08-05,53933347.0,4721689.0
158,2020-08-06,54620585.0,4773850.0
159,2020-08-07,55340548.0,4827484.0
160,2020-08-08,55957445.0,4887879.0
161,2020-08-09,56623705.0,4940612.0
162,2020-08-10,57313086.0,4990385.0
163,2020-08-11,58011282.0,5031736.0
164,2020-08-12,58448280.0,5086835.0
165,2020-08-13,59296194.0,5142087.0
166,2020-08-14,60095871.0,5193527.0
167,2020-08-15,60785057.0,5250121.0
168,2020-08-16,61526360.0,5305562.0
169,2020-08-17,62148755.0,5347681.0
170,2020-08-18,62762492.0,5384556.0
171,2020-08-19,63408128.0,5424344.0
172,2020-08-20,64036837.0,5469091.0
173,2020-08-21,64737073.0,5512544.0
174,2020-08-22,65446315.0,5558175.0
175,2020-08-23,66031034.0,5603601.0
176,2020-08-24,66669842.0,5640678.0
177,2020-08-25,67298198.0,5674371.0
178,2020-08-26,67899244.0,5710798.0
179,2020-08-27,68596111.0,5754239.0
180,2020-08-28,69323424.0,5797562.0
181,2020-08-29,70040474.0,5843353.0
182,2020-08-30,70737535.0,5886951.0
183,2020-08-31,71384146.0,5925982.0
184,2020-09-01,72038284.0,5956952.0
185,2020-09-02,72654786.0,5999207.0
186,2020-09-03,73333865.0,6029015.0
187,2020-09-04,74182737.0,6073442.0
188,2020-09-05,74943605.0,6124858.0
189,2020-09-06,75643543.0,6169390.0
190,2020-09-07,76202312.0,6202271.0
191,2020-09-08,76685032.0,6229983.0
192,2020-09-09,77236655.0,6251979.0
193,2020-09-10,77812317.0,6283106.0
194,2020-09-11,78535865.0,6319855.0
195,2020-09-12,79344474.0,6364409.0
196,2020-09-13,79956220.0,6405995.0
197,2020-09-14,80322406.0,6440126.0
198,2020-09-15,80973819.0,6473500.0
199,2020-09-16,81601760.0,6508133.0
200,2020-09-17,82338755.0,6548145.0
201,2020-09-18,83191268.0,6591013.0
202,2020-09-19,84136681.0,6637753.0
203,2020-09-20,84924873.0,6681921.0
204,2020-09-21,85561304.0,6717129.0
205,2020-09-22,86234432.0,6755995.0
206,2020-09-23,87038021.0,6805332.0
207,2020-09-24,87840339.0,6843865.0
208,2020-09-25,88716213.0,6886454.0
209,2020-09-26,89602449.0,6940902.0
210,2020-09-27,90271699.0,6987943.0
211,2020-09-28,91183664.0,7022374.0
212,2020-09-29,91894199.0,7057561.0
213,2020-09-30,92570314.0,7093504.0
214,2020-10-01,93333218.0,7137607.0
215,2020-10-02,94307536.0,7182969.0
216,2020-10-03,95151903.0,7231825.0
217,2020-10-04,95974709.0,7282378.0
218,2020-10-05,96818089.0,7320134.0
219,2020-10-06,97534110.0,7357477.0
220,2020-10-07,98265110.0,7396095.0
221,2020-10-08,99148999.0,7446610.0
222,2020-10-09,100096665.0,7501399.0
223,2020-10-10,101057949.0,7557828.0
224,2020-10-11,101859675.0,7614941.0
225,2020-10-12,102742014.0,7660968.0
226,2020-10-13,103600281.0,7703292.0
227,2020-10-14,104220535.0,7751655.0
228,2020-10-15,105071774.0,7807204.0
229,2020-10-16,106041457.0,7870195.0
230,2020-10-17,107006129.0,7938101.0
231,2020-10-18,107771171.0,7995225.0
232,2020-10-19,108794768.0,8043027.0
233,2020-10-20,109550252.0,8099628.0
234,2020-10-21,110239916.0,8159598.0
235,2020-10-22,111156624.0,8220340.0
236,2020-10-23,112198503.0,8293001.0
237,2020-10-24,113159595.0,8374094.0
238,2020-10-25,114059915.0,8457231.0
239,2020-10-26,115042738.0,8521418.0
240,2020-10-27,115849270.0,8583356.0
241,2020-10-28,116651339.0,8655091.0
242,2020-10-29,117660098.0,8733727.0
243,2020-10-30,118634724.0,8821615.0
244,2020-10-31,119678161.0,8918191.0
245,2020-11-01,120492243.0,9008424.0
246,2020-11-02,121562667.0,9081857.0
247,2020-11-03,122401435.0,9163035.0
248,2020-11-04,123270421.0,9249230.0
249,2020-11-05,124453311.0,9352384.0
250,2020-11-06,125587069.0,9468432.0
251,2020-11-07,126570892.0,9593310.0
252,2020-11-08,127492169.0,9721833.0
253,2020-11-09,128713989.0,9831455.0
254,2020-11-10,129654715.0,9950166.0
255,2020-11-11,130673734.0,10080892.0
256,2020-11-12,131643675.0,10225344.0
257,2020-11-13,132880264.0,10375929.0
258,2020-11-14,134054027.0,10547304.0
259,2020-11-15,135216152.0,10710124.0
260,2020-11-16,136319037.0,10853693.0
261,2020-11-17,137410179.0,11001973.0
262,2020-11-18,138484462.0,11158060.0
263,2020-11-19,139770650.0,11321582.0
264,2020-11-20,141160037.0,11503820.0
265,2020-11-21,142589747.0,11695667.0
266,2020-11-22,143843839.0,11874250.0
267,2020-11-23,145190157.0,12023979.0
268,2020-11-24,146543035.0,12174143.0
269,2020-11-25,147701875.0,12340753.0
270,2020-11-26,148552293.0,12524141.0
271,2020-11-27,150056295.0,12649932.0
272,2020-11-28,151333011.0,12842185.0
273,2020-11-29,152216110.0,12995773.0
274,2020-11-30,153434784.0,13130852.0
275,2020-12-01,155375408.0,13277560.0
276,2020-12-02,156356804.0,13453495.0
277,2020-12-03,157594646.0,13648859.0
278,2020-12-04,158854514.0,13858618.0
279,2020-12-05,160381351.0,14082916.0
280,2020-12-06,161553941.0,14293016.0
